SuburbPostCodeKey,PostCodeNew,Suburb,City,State,State_Code,Latitude,Longitude,LatLong
"2537-Tuross Head","2537","Tuross Head","Sydney","New South Wales","NSW",-36.060748,150.137152,"-36.060748,150.137152"
"2537-Wamban","2537","Wamban","Sydney","New South Wales","NSW",-36.003667,149.976869,"-36.003667,149.976869"
"2538-Brooman","2538","Brooman","Sydney","New South Wales","NSW",-35.48985,150.233827,"-35.48985,150.233827"
"2538-Little Forest","2538","Little Forest","Sydney","New South Wales","NSW",-35.295789,150.394697,"-35.295789,150.394697"
"2538-Milton","2538","Milton","Sydney","New South Wales","NSW",-35.315085,150.434525,"-35.315085,150.434525"
"2538-Mogood","2538","Mogood","Sydney","New South Wales","NSW",-35.532057,150.197708,"-35.532057,150.197708"
"2538-Morton","2538","Morton","Sydney","New South Wales","NSW",-35.419406,150.304367,"-35.419406,150.304367"
"2538-Porters Creek","2538","Porters Creek","Sydney","New South Wales","NSW",-35.264793,150.332988,"-35.264793,150.332988"
"2538-Woodburn","2538","Woodburn","Sydney","New South Wales","NSW",-35.375596,150.378783,"-35.375596,150.378783"
"2538-Woodstock","2538","Woodstock","Sydney","New South Wales","NSW",-35.352384,150.408978,"-35.352384,150.408978"
"2539-Bawley Point","2539","Bawley Point","Sydney","New South Wales","NSW",-35.522387,150.393202,"-35.522387,150.393202"
"2539-Bendalong","2539","Bendalong","Sydney","New South Wales","NSW",-35.246777,150.529888,"-35.246777,150.529888"
"2539-Burrill Lake","2539","Burrill Lake","Sydney","New South Wales","NSW",-35.387189,150.449603,"-35.387189,150.449603"
"2539-Cockwhy","2539","Cockwhy","Sydney","New South Wales","NSW",-35.541395,150.289208,"-35.541395,150.289208"
"2539-Conjola","2539","Conjola","Sydney","New South Wales","NSW",-35.219631,150.43487,"-35.219631,150.43487"
"2539-Conjola Park","2539","Conjola Park","Sydney","New South Wales","NSW",-35.371593,150.452135,"-35.371593,150.452135"
"2539-Croobyar","2539","Croobyar","Sydney","New South Wales","NSW",-35.321265,150.400375,"-35.321265,150.400375"
"2539-Cunjurong Point","2539","Cunjurong Point","Sydney","New South Wales","NSW",-35.259759,150.504909,"-35.259759,150.504909"
"2539-Dolphin Point","2539","Dolphin Point","Sydney","New South Wales","NSW",-35.400376,150.44539,"-35.400376,150.44539"
"2539-Fishermans Paradise","2539","Fishermans Paradise","Sydney","New South Wales","NSW",-35.229709,150.448704,"-35.229709,150.448704"
"2539-Kings Point","2539","Kings Point","Sydney","New South Wales","NSW",-35.372521,150.437164,"-35.372521,150.437164"
"2539-Kioloa","2539","Kioloa","Sydney","New South Wales","NSW",-35.544426,150.383971,"-35.544426,150.383971"
"2539-Lake Conjola","2539","Lake Conjola","Sydney","New South Wales","NSW",-35.269291,150.492742,"-35.269291,150.492742"
