SuburbPostCodeKey,Suburb,PropertyValue,Updated_Year,Updated_Month
"2339-Chilcotts Creek","Chilcotts Creek","","2017","6"
"2339-Little Jacks Creek","Little Jacks Creek","","2017","6"
"2339-Macdonalds Creek","Macdonalds Creek","","2017","6"
"2339-Parraweena","Parraweena","","2017","6"
"2339-Warrah","Warrah","","2017","6"
"2339-Warrah Creek","Warrah Creek","","2017","6"
"2339-Willow Tree","Willow Tree","","2017","6"
"2341-Werris Creek","Werris Creek","","2017","6"
"2343-Blackville","Blackville","","2017","6"
"2343-Bundella","Bundella","","2017","6"
"2343-Caroona","Caroona","","2017","6"
"2343-Colly Blue","Colly Blue","","2017","6"
"2343-Coomoo Coomoo","Coomoo Coomoo","","2017","6"
"2343-Pine Ridge","Pine Ridge","","2017","6"
"2343-Quipolly","Quipolly","","2017","6"
"2343-Quirindi","Quirindi","","2017","6"
"2343-Spring Ridge","Spring Ridge","","2017","6"
"2343-Wallabadah","Wallabadah","","2017","6"
"2343-Warrah Ridge","Warrah Ridge","","2017","6"
"2343-Windy","Windy","","2017","6"
"2343-Yannergee","Yannergee","","2017","6"
"2344-Duri","Duri","","2017","6"
"2344-Winton","Winton","","2017","6"
"2345-Attunga","Attunga","","2017","6"
"2345-Garthowen","Garthowen","","2017","6"
"2347-Banoon","Banoon","","2017","6"
"2347-Barraba","Barraba","","2017","6"
"2347-Caroda","Caroda","","2017","6"
"2347-Cobbadah","Cobbadah","","2017","6"
"2347-Gulf Creek","Gulf Creek","","2017","6"
"2347-Gundamulda","Gundamulda","","2017","6"
"2347-Ironbark","Ironbark","","2017","6"
"2347-Lindesay","Lindesay","","2017","6"
"2347-Longarm","Longarm","","2017","6"
"2347-Mayvale","Mayvale","","2017","6"
