SuburbPostCodeKey,PostCodeNew,Suburb,City,State,State_Code,Latitude,Longitude,LatLong
"3063-Oaklands Junction","3063","Oaklands Junction","Melbourne","Victoria","VIC",-37.629826,144.839244,"-37.629826,144.839244"
"3063-Yuroke","3063","Yuroke","Melbourne","Victoria","VIC",-37.589589,144.879406,"-37.589589,144.879406"
"3064-Craigieburn","3064","Craigieburn","Melbourne","Victoria","VIC",-37.598975,144.941287,"-37.598975,144.941287"
"3064-Donnybrook","3064","Donnybrook","Melbourne","Victoria","VIC",-37.542028,144.963579,"-37.542028,144.963579"
"3064-Kalkallo","3064","Kalkallo","Melbourne","Victoria","VIC",-37.529372,144.947106,"-37.529372,144.947106"
"3064-Mickleham","3064","Mickleham","Melbourne","Victoria","VIC",-37.560864,144.879078,"-37.560864,144.879078"
"3064-Roxburgh Park","3064","Roxburgh Park","Melbourne","Victoria","VIC",-37.636795,144.932604,"-37.636795,144.932604"
"3065-Fitzroy","3065","Fitzroy","Melbourne","Victoria","VIC",-37.800917,144.979165,"-37.800917,144.979165"
"3066-Collingwood","3066","Collingwood","Melbourne","Victoria","VIC",-37.800366,144.984149,"-37.800366,144.984149"
"3066-Collingwood North","3066","Collingwood North","Melbourne","Victoria","VIC",-37.789805,144.990796,"-37.789805,144.990796"
"3067-Abbotsford","3067","Abbotsford","Melbourne","Victoria","VIC",-37.801781,144.998752,"-37.801781,144.998752"
"3068-Clifton Hill","3068","Clifton Hill","Melbourne","Victoria","VIC",-37.788118,144.992067,"-37.788118,144.992067"
"3068-Fitzroy North","3068","Fitzroy North","Melbourne","Victoria","VIC",-37.7834,144.984688,"-37.7834,144.984688"
"3070-Northcote","3070","Northcote","Melbourne","Victoria","VIC",-37.769857,144.995276,"-37.769857,144.995276"
"3070-Northcote South","3070","Northcote South","Melbourne","Victoria","VIC",-37.779039,145.006746,"-37.779039,145.006746"
"3071-Thornbury","3071","Thornbury","Melbourne","Victoria","VIC",-37.75504,144.998589,"-37.75504,144.998589"
"3072-Northland Centre","3072","Northland Centre","Melbourne","Victoria","VIC",-37.742047,145.027716,"-37.742047,145.027716"
"3072-Preston","3072","Preston","Melbourne","Victoria","VIC",-37.738736,145.000515,"-37.738736,145.000515"
"3072-Preston Lower","3072","Preston Lower","Melbourne","Victoria","VIC",-37.743606,145.019624,"-37.743606,145.019624"
"3072-Preston South","3072","Preston South","Melbourne","Victoria","VIC",-37.743356,145.009123,"-37.743356,145.009123"
"3072-Preston West","3072","Preston West","Melbourne","Victoria","VIC",-37.736855,145.003005,"-37.736855,145.003005"
"3073-Keon Park","3073","Keon Park","Melbourne","Victoria","VIC",-37.694672,145.011907,"-37.694672,145.011907"
"3073-Reservoir","3073","Reservoir","Melbourne","Victoria","VIC",-37.716897,145.006985,"-37.716897,145.006985"
"3073-Reservoir East","3073","Reservoir East","Melbourne","Victoria","VIC",-37.722243,145.011124,"-37.722243,145.011124"
"3073-Reservoir North","3073","Reservoir North","Melbourne","Victoria","VIC",-37.723105,145.018195,"-37.723105,145.018195"
"3073-Reservoir South","3073","Reservoir South","Melbourne","Victoria","VIC",-37.714796,144.944655,"-37.714796,144.944655"
"3074-Thomastown","3074","Thomastown","Melbourne","Victoria","VIC",-37.680338,145.014287,"-37.680338,145.014287"
"3075-Lalor","3075","Lalor","Melbourne","Victoria","VIC",-37.665857,145.017194,"-37.665857,145.017194"
"3075-Lalor Plaza","3075","Lalor Plaza","Melbourne","Victoria","VIC",-37.673141,145.016634,"-37.673141,145.016634"
"3076-Epping","3076","Epping","Melbourne","Victoria","VIC",-37.638363,145.009493,"-37.638363,145.009493"
"3078-Alphington","3078","Alphington","Melbourne","Victoria","VIC",-37.780767,145.03116,"-37.780767,145.03116"
"3078-Fairfield","3078","Fairfield","Melbourne","Victoria","VIC",-37.776946,145.018479,"-37.776946,145.018479"
"3079-Ivanhoe","3079","Ivanhoe","Melbourne","Victoria","VIC",-37.76964,145.041425,"-37.76964,145.041425"
"3079-Ivanhoe East","3079","Ivanhoe East","Melbourne","Victoria","VIC",-37.77283,145.059401,"-37.77283,145.059401"
"3079-Ivanhoe North","3079","Ivanhoe North","Melbourne","Victoria","VIC",-37.723105,145.018195,"-37.723105,145.018195"
"3081-Bellfield","3081","Bellfield","Melbourne","Victoria","VIC",-37.751819,145.045449,"-37.751819,145.045449"
"3081-Heidelberg Heights","3081","Heidelberg Heights","Melbourne","Victoria","VIC",-37.742268,145.048873,"-37.742268,145.048873"
"3081-Heidelberg West","3081","Heidelberg West","Melbourne","Victoria","VIC",-37.74944,145.0414,"-37.74944,145.0414"
"3082-Mill Park","3082","Mill Park","Melbourne","Victoria","VIC",-37.667957,145.060693,"-37.667957,145.060693"
"3083-Bundoora","3083","Bundoora","Melbourne","Victoria","VIC",-37.70132,145.071967,"-37.70132,145.071967"
"3083-Kingsbury","3083","Kingsbury","Melbourne","Victoria","VIC",-37.714064,145.035103,"-37.714064,145.035103"
"3083-La Trobe University","3083","La Trobe University","Melbourne","Victoria","VIC",-37.721328,145.047012,"-37.721328,145.047012"
"3084-Banyule","3084","Banyule","Melbourne","Victoria","VIC",-37.744219,145.08793,"-37.744219,145.08793"
"3084-Eaglemont","3084","Eaglemont","Melbourne","Victoria","VIC",-37.762519,145.068208,"-37.762519,145.068208"
"3084-Heidelberg","3084","Heidelberg","Melbourne","Victoria","VIC",-37.756341,145.067145,"-37.756341,145.067145"
"3084-Rosanna","3084","Rosanna","Melbourne","Victoria","VIC",-37.742893,145.065044,"-37.742893,145.065044"
"3084-Viewbank","3084","Viewbank","Melbourne","Victoria","VIC",-37.739262,145.096424,"-37.739262,145.096424"
"3085-Macleod","3085","Macleod","Melbourne","Victoria","VIC",-37.726038,145.068457,"-37.726038,145.068457"
