DateValue,Year,Month,Week of Year,Day,Start of Year,End of Year,Month Name,Day of Year
2017-03-27 00:00:00.000,2017,3,14,27,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"March",86
2017-03-28 00:00:00.000,2017,3,14,28,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"March",87
2017-03-29 00:00:00.000,2017,3,14,29,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"March",88
2017-03-30 00:00:00.000,2017,3,14,30,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"March",89
2017-03-31 00:00:00.000,2017,3,14,31,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"March",90
2017-04-01 00:00:00.000,2017,4,14,1,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"April",91
2017-04-02 00:00:00.000,2017,4,14,2,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"April",92
2017-04-03 00:00:00.000,2017,4,15,3,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"April",93
2017-04-04 00:00:00.000,2017,4,15,4,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"April",94
2017-04-05 00:00:00.000,2017,4,15,5,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"April",95
2017-04-06 00:00:00.000,2017,4,15,6,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"April",96
2017-04-07 00:00:00.000,2017,4,15,7,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"April",97
2017-04-08 00:00:00.000,2017,4,15,8,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"April",98
2017-04-09 00:00:00.000,2017,4,15,9,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"April",99
2017-04-10 00:00:00.000,2017,4,16,10,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"April",100
2017-04-11 00:00:00.000,2017,4,16,11,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"April",101
2017-04-12 00:00:00.000,2017,4,16,12,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"April",102
2017-04-13 00:00:00.000,2017,4,16,13,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"April",103
2017-04-14 00:00:00.000,2017,4,16,14,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"April",104
2017-04-15 00:00:00.000,2017,4,16,15,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"April",105
2017-04-16 00:00:00.000,2017,4,16,16,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"April",106
2017-04-17 00:00:00.000,2017,4,17,17,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"April",107
2017-04-18 00:00:00.000,2017,4,17,18,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"April",108
2017-04-19 00:00:00.000,2017,4,17,19,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"April",109
2017-04-20 00:00:00.000,2017,4,17,20,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"April",110
2017-04-21 00:00:00.000,2017,4,17,21,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"April",111
2017-04-22 00:00:00.000,2017,4,17,22,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"April",112
2017-04-23 00:00:00.000,2017,4,17,23,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"April",113
2017-04-24 00:00:00.000,2017,4,18,24,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"April",114
2017-04-25 00:00:00.000,2017,4,18,25,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"April",115
2017-04-26 00:00:00.000,2017,4,18,26,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"April",116
2017-04-27 00:00:00.000,2017,4,18,27,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"April",117
2017-04-28 00:00:00.000,2017,4,18,28,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"April",118
2017-04-29 00:00:00.000,2017,4,18,29,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"April",119
2017-04-30 00:00:00.000,2017,4,18,30,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"April",120
2017-05-01 00:00:00.000,2017,5,19,1,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"May",121
2017-05-02 00:00:00.000,2017,5,19,2,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"May",122
2017-05-03 00:00:00.000,2017,5,19,3,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"May",123
2017-05-04 00:00:00.000,2017,5,19,4,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"May",124
2017-05-05 00:00:00.000,2017,5,19,5,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"May",125
2017-05-06 00:00:00.000,2017,5,19,6,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"May",126
2017-05-07 00:00:00.000,2017,5,19,7,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"May",127
2017-05-08 00:00:00.000,2017,5,20,8,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"May",128
2017-05-09 00:00:00.000,2017,5,20,9,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"May",129
2017-05-10 00:00:00.000,2017,5,20,10,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"May",130
2017-05-11 00:00:00.000,2017,5,20,11,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"May",131
2017-05-12 00:00:00.000,2017,5,20,12,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"May",132
2017-05-13 00:00:00.000,2017,5,20,13,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"May",133
2017-05-14 00:00:00.000,2017,5,20,14,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"May",134
2017-05-15 00:00:00.000,2017,5,21,15,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"May",135
2017-05-16 00:00:00.000,2017,5,21,16,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"May",136
2017-05-17 00:00:00.000,2017,5,21,17,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"May",137
2017-05-18 00:00:00.000,2017,5,21,18,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"May",138
2017-05-19 00:00:00.000,2017,5,21,19,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"May",139
2017-05-20 00:00:00.000,2017,5,21,20,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"May",140
2017-05-21 00:00:00.000,2017,5,21,21,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"May",141
2017-05-22 00:00:00.000,2017,5,22,22,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"May",142
2017-05-23 00:00:00.000,2017,5,22,23,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"May",143
2017-05-24 00:00:00.000,2017,5,22,24,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"May",144
2017-05-25 00:00:00.000,2017,5,22,25,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"May",145
2017-05-26 00:00:00.000,2017,5,22,26,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"May",146
2017-05-27 00:00:00.000,2017,5,22,27,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"May",147
2017-05-28 00:00:00.000,2017,5,22,28,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"May",148
2017-05-29 00:00:00.000,2017,5,23,29,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"May",149
2017-05-30 00:00:00.000,2017,5,23,30,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"May",150
2017-05-31 00:00:00.000,2017,5,23,31,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"May",151
2017-06-01 00:00:00.000,2017,6,23,1,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"June",152
2017-06-02 00:00:00.000,2017,6,23,2,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"June",153
2017-06-03 00:00:00.000,2017,6,23,3,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"June",154
2017-06-04 00:00:00.000,2017,6,23,4,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"June",155
2017-06-05 00:00:00.000,2017,6,24,5,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"June",156
2017-06-06 00:00:00.000,2017,6,24,6,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"June",157
2017-06-07 00:00:00.000,2017,6,24,7,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"June",158
2017-06-08 00:00:00.000,2017,6,24,8,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"June",159
2017-06-09 00:00:00.000,2017,6,24,9,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"June",160
2017-06-10 00:00:00.000,2017,6,24,10,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"June",161
2017-06-11 00:00:00.000,2017,6,24,11,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"June",162
2017-06-12 00:00:00.000,2017,6,25,12,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"June",163
2017-06-13 00:00:00.000,2017,6,25,13,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"June",164
2017-06-14 00:00:00.000,2017,6,25,14,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"June",165
2017-06-15 00:00:00.000,2017,6,25,15,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"June",166
2017-06-16 00:00:00.000,2017,6,25,16,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"June",167
2017-06-17 00:00:00.000,2017,6,25,17,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"June",168
2017-06-18 00:00:00.000,2017,6,25,18,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"June",169
2017-06-19 00:00:00.000,2017,6,26,19,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"June",170
2017-06-20 00:00:00.000,2017,6,26,20,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"June",171
2017-06-21 00:00:00.000,2017,6,26,21,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"June",172
2017-06-22 00:00:00.000,2017,6,26,22,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"June",173
2017-06-23 00:00:00.000,2017,6,26,23,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"June",174
2017-06-24 00:00:00.000,2017,6,26,24,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"June",175
2017-06-25 00:00:00.000,2017,6,26,25,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"June",176
