Train_StationName,Suburb,Street_Name,Street_Type,Entrance_Type,Latitude,Longitude,Exit_Number,TrainStation_ID,LatLong
"Rockdale","Rockdale","Railway","St","Stairs",-33.95221004,151.1362805,0,754,"-33.95221004,151.1362805"
"Sandgate","Sandgate","Astra","St","Stairs",-32.87279417,151.7028016,0,768,"-32.87279417,151.7028016"
"Schofields","Schofields","Bridge","St","Stairs",-33.7043178,150.8735269,0,775,"-33.7043178,150.8735269"
"Sefton","Sefton","Helen","St","Stairs",-33.88516069,151.0116714,0,779,"-33.88516069,151.0116714"
"St James","St James","Elizabeth","St","Stairs",-33.87074951,151.2104486,0,799,"-33.87074951,151.2104486"
"St Leonards","St Leonards","Herbert","St","Stairs",-33.82231649,151.1936088,0,803,"-33.82231649,151.1936088"
"St Leonards","St Leonards","Herbert","St","Stairs",-33.82246257,151.1934322,0,804,"-33.82246257,151.1934322"
"St Marys","St Marys","Station","St","Stairs",-33.76231824,150.774872,0,809,"-33.76231824,150.774872"
"Telarah","Telarah","Johnson","St","Stairs",-32.72337822,151.5398859,0,845,"-32.72337822,151.5398859"
"Tempe","Tempe","Griffith","St","Stairs",-33.92369195,151.1567982,0,851,"-33.92369195,151.1567982"
"Tempe","Tempe","Griffith","St","Stairs",-33.92394727,151.15675,0,852,"-33.92394727,151.15675"
"Teralba","Teralba","Railway","St","Stairs",-32.96216248,151.6036419,0,857,"-32.96216248,151.6036419"
"Thirroul","Thirroul","Station","St","Stairs",-34.31786015,150.9193757,0,859,"-34.31786015,150.9193757"
"Thornton","Thornton","Karuah","St","Stairs",-32.78357334,151.6399935,0,866,"-32.78357334,151.6399935"
"Turrella","Turrella","Reede","St","Stairs",-33.92977422,151.1404283,0,887,"-33.92977422,151.1404283"
"Victoria Street","Victoria Street","Waller","St","Stairs",-32.75096544,151.5941378,0,893,"-32.75096544,151.5941378"
"Victoria Street","Victoria Street","Victoria","St","Stairs",-32.7511242,151.5937962,0,894,"-32.7511242,151.5937962"
"Villawood","Villawood","Villawood","St","Stairs",-33.88092102,150.9773626,0,895,"-33.88092102,150.9773626"
"Waratah","Waratah","Platt","St","Stairs",-32.90210317,151.731215,0,904,"-32.90210317,151.731215"
"Waratah","Waratah","Platt","St","Stairs",-32.902354,151.7310238,0,905,"-32.902354,151.7310238"
"Warwick Farm","Warwick Farm","Warwick","St","Stairs",-33.91318088,150.9353246,0,917,"-33.91318088,150.9353246"
"Wentworth Falls","Wentworth Falls","Station","St","Stairs",-33.70952535,150.3761198,0,925,"-33.70952535,150.3761198"
"Werrington","Werrington","Railway","St","Stairs",-33.75924963,150.7575314,0,933,"-33.75924963,150.7575314"
"Wollongong","Wollongong","Station","St","Stairs",-34.42673344,150.8885596,0,957,"-34.42673344,150.8885596"
"Woolooware","Woolooware","Swan","St","Stairs",-34.04769831,151.1436487,0,976,"-34.04769831,151.1436487"
"Woy Woy","Woy Woy","Railway","St","Stairs",-33.48597825,151.3232156,0,984,"-33.48597825,151.3232156"
"Wyong","Wyong","Howarth","St","Stairs",-33.28508373,151.4255992,0,1000,"-33.28508373,151.4255992"
"Yennora","Yennora","Railway","St","Stairs",-33.86488282,150.97104,0,1005,"-33.86488282,150.97104"
"Yennora","Yennora","Railway","St","Stairs",-33.86498836,150.9708084,0,1007,"-33.86498836,150.9708084"
"Arlington LR","Arlington LR","Grove","St","Path",-33.9020453,151.1381593,0,16,"-33.9020453,151.1381593"
"Asquith","Asquith","Haldane","St","Path",-33.68869132,151.1082656,0,29,"-33.68869132,151.1082656"
"Austinmer","Austinmer","Gilchrist","St","Path",-34.3065205,150.9293511,0,34,"-34.3065205,150.9293511"
"Awaba","Awaba","Adelaide","St","Path",-33.01291676,151.5421328,0,37,"-33.01291676,151.5421328"
"Berala","Berala","Campbell","St","Path",-33.8719773,151.0328288,0,58,"-33.8719773,151.0328288"
"Bomaderry","Bomaderry","Meroo","St","Path",-34.85374494,150.6097702,0,87,"-34.85374494,150.6097702"
"Bowral","Bowral","Station","St","Path",-34.47792483,150.4169743,0,95,"-34.47792483,150.4169743"
"Bulli","Bulli","Railway","St","Path",-34.33433961,150.9146887,0,112,"-34.33433961,150.9146887"
"Bundanoon","Bundanoon","Church","St","Path",-34.65604988,150.2995728,0,114,"-34.65604988,150.2995728"
